#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0,-0.28889,-0.55556,-0.57447
0.36364,-0.33333,-0.42222,-0.57447
0.045455,-0.24444,-0.46667,-0.57447
0.045455,-0.066667,-0.6,-0.57447
-0.31818,0.066667,-0.77778,-0.40426
-0.31818,0.066667,-0.95556,-0.40426
0.090909,-0.022222,-0.73333,-0.40426
-0.27273,-0.33333,-0.51111,-0.40426
-0.045455,-0.42222,-0.55556,-0.65957
-0.045455,-0.066667,-0.64444,-0.65957
-0.045455,0.066667,-0.77778,-0.48936
-0.045455,-0.15556,-0.95556,-0.48936
0,0.066667,-0.73333,-0.48936
-0.13636,0.15556,-0.6,-0.48936
0.090909,0.2,-0.68889,-0.3617
0.090909,0.066667,-0.37778,-0.3617
0.090909,0.15556,-0.37778,-0.3617
0.13636,-0.022222,-0.2,-0.3617
-0.045455,0.066667,-0.33333,-0.48936
-0.045455,0.022222,-0.6,-0.31915
-0.045455,-0.15556,-0.28889,-0.31915
0.090909,-0.55556,-0.33333,-0.021277
0.090909,0.066667,0.066667,-0.021277
-0.18182,0.066667,0.066667,-0.48936
-0.18182,-0.066667,-0.28889,-0.48936
-0.090909,-0.2,-0.37778,-0.06383
-0.090909,0.066667,-0.6,-0.53191
-0.090909,0.24444,-0.33333,-0.53191
0.27273,0.066667,-0.24444,-0.53191
0.5,-0.066667,-0.51111,-0.53191
0.36364,-0.066667,-1,-0.87234
0.36364,-0.066667,-0.91111,-0.87234
0.090909,0.24444,-0.42222,-0.87234
0.090909,-0.2,-1,-0.95745
0.090909,0.2,-0.91111,-0.95745
