#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.5,-0.68889,0.2,0.23404
-0.5,-0.6,-0.11111,0.40426
-0.5,-0.73333,0.33333,0.40426
-0.5,-0.33333,0.46667,0.40426
-0.36364,-0.73333,0.2,0.40426
-0.45455,-0.86667,0.022222,0.2766
-0.45455,-0.51111,0.2,0.2766
-0.45455,-0.95556,0.066667,0.65957
-0.45455,-0.51111,0.066667,0.53191
-0.45455,-0.64444,0.066667,0.53191
-0.45455,-0.68889,0.066667,0.65957
-0.45455,-0.6,0.066667,0.65957
-0.45455,-0.37778,0.066667,0.65957
-0.22727,-0.51111,-0.33333,0.65957
-0.45455,-0.2,0.33333,0.65957
-0.86364,-0.33333,-0.11111,0.65957
-0.68182,-0.28889,0.11111,0.78723
-0.68182,-0.55556,0.066667,0.78723
-0.27273,-0.33333,0.11111,0.78723
-0.22727,-0.33333,0.33333,0.78723
-0.68182,-0.73333,0.33333,0.78723
-0.45455,-0.73333,0.73333,0.78723
-0.86364,-0.95556,0.46667,0.53191
-0.86364,-0.77778,0.33333,0.53191
-0.86364,-0.6,0.33333,0.53191
-0.54545,-0.46667,-0.15556,0.53191
-0.68182,-0.51111,0.11111,0.78723
-0.68182,-0.46667,0.68889,0.78723
-0.18182,-0.46667,0.33333,0.78723
-0.18182,-0.55556,0.33333,0.78723
-0.090909,-0.68889,0.46667,0.78723
-0.090909,-0.51111,0.6,0.78723
-0.13636,-0.51111,0.46667,0.78723
-0.13636,-0.37778,0.73333,0.78723
-0.13636,-0.46667,0.73333,0.78723
-0.13636,-0.46667,0.73333,0.87234
-0.13636,-0.51111,0.022222,0.91489
-0.13636,-0.51111,0.73333,0.91489
-0.31818,-0.6,0.73333,0.91489
-0.22727,-0.68889,0.51111,0.91489
-0.27273,-0.6,0.73333,0.91489
