#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.28889,0.076923,-0.18182,-0.095238
0.066667,-0.076923,-0.22727,-0.095238
0.066667,-0.23077,-0.59091,0
0.066667,0.23077,-0.045455,0
0.11111,0.28205,0,0
0.11111,0.23077,0,-0.19048
-0.066667,0.17949,-0.18182,-0.19048
-0.066667,-0.12821,-0.13636,0.14286
-0.066667,-0.076923,-0.045455,-0.14286
-0.066667,-0.076923,-0.13636,-0.095238
-0.066667,0.17949,0.090909,0.047619
-0.066667,0.12821,0.090909,0
-0.066667,-0.025641,0.090909,-0.28571
-0.066667,-0.076923,0.090909,-0.33333
-0.24444,0.12821,0.090909,-0.33333
-0.24444,0.025641,-0.22727,0.19048
-0.24444,-0.17949,0.090909,-0.14286
-0.24444,-0.23077,-0.045455,0
0.022222,-0.58974,-0.81818,0
0.2,0.28205,-0.18182,0
0.2,-0.23077,-0.13636,0
-0.33333,-0.23077,-0.72727,0
-0.33333,-0.076923,-0.18182,0
-0.33333,-0.74359,-0.22727,0.33333
-0.33333,-0.23077,0.090909,0.28571
-0.33333,-0.53846,-0.18182,0.42857
-0.33333,-0.53846,-0.045455,0.38095
-0.33333,-0.64103,0.090909,0.38095
-0.066667,-0.58974,0.045455,0.38095
-0.066667,-0.23077,0.090909,0.14286
0.066667,-0.17949,0.22727,0.14286
0.066667,-0.4359,0.090909,0.28571
0.066667,-0.4359,0.22727,0.28571
0.066667,-0.79487,0.77273,0.71429
-0.46667,-0.53846,0.81818,0.71429
-0.46667,-0.94872,0.5,0.57143
-0.37778,-0.38462,0.77273,0.57143
-0.37778,-0.64103,0.090909,0.38095
-0.37778,-0.89744,0.31818,0.7619
-0.37778,-1,0.36364,0.80952
-0.37778,-0.79487,0.77273,0.57143
-0.73333,-0.94872,0.5,0.57143
-0.73333,-0.84615,0.81818,0.52381
-0.33333,-1,0.90909,0.52381
-0.37778,-0.69231,0.77273,0.52381
-0.37778,-0.74359,0.5,0.85714
-0.28889,-0.53846,0.77273,0.85714
-0.51111,-0.38462,0.90909,0.85714
-0.51111,-0.48718,0.90909,0.42857
-0.51111,-0.48718,0.77273,0.14286
-0.51111,-1,0.77273,0.42857
-0.2,-0.94872,0.86364,0.42857
-0.2,-0.69231,0.77273,0.33333
-0.64444,-0.58974,0.86364,0.33333
-0.64444,-0.64103,0.95455,0.57143
