#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.066667,0.076923,-0.045455,0.047619
-0.066667,0.076923,-0.27273,-0.14286
-0.066667,0.025641,-0.045455,0.19048
-0.066667,-0.12821,0.13636,0
-0.066667,0.025641,0.22727,0.28571
-0.066667,-0.076923,0.18182,0.047619
-0.95556,0.076923,0.090909,0.047619
-0.95556,0.23077,-0.045455,0.28571
-0.28889,0.23077,0.090909,0.28571
-0.73333,0.23077,0.27273,0.28571
-0.022222,0.28205,0.18182,0.28571
-0.022222,0.33333,0.31818,-0.095238
-0.022222,0.12821,0.22727,0.095238
-0.11111,0.23077,0.36364,0.095238
-0.11111,0.23077,0.090909,0.28571
-0.11111,0.076923,0.22727,0.047619
-0.022222,0.076923,0.090909,0.047619
0.066667,-0.33333,0.36364,0.047619
0.066667,-0.17949,0.36364,0.047619
0.066667,-0.17949,0.090909,0.28571
-0.33333,-0.23077,0.36364,0.28571
-0.066667,-0.53846,0.5,0.28571
-0.066667,-0.79487,0.36364,0.33333
-0.28889,-0.69231,0.22727,0.33333
-0.28889,-1,0.31818,0.047619
-0.28889,-0.89744,0.22727,0.2381
-0.6,-0.94872,0.36364,0.2381
-0.6,-1,0.090909,0.42857
-0.6,-0.69231,0.13636,0.095238
-1,-1,0.45455,0.095238
-0.51111,-1,0.090909,0.095238
-0.51111,-0.89744,-0.045455,-0.095238
-0.6,-1,0.13636,-0.095238
-0.6,-1,0.36364,-0.14286
-0.6,-1,0.22727,0.28571
-0.46667,-0.84615,0.13636,0.28571
-0.73333,-0.89744,0.090909,0.28571
-0.73333,-0.69231,0.22727,0.14286
-0.55556,-1,0.36364,0.14286
-0.2,-1,-0.045455,0.14286
-0.2,-0.84615,0.13636,0.14286
