#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.57143,0.04,-0.57143,-0.5
0.42857,0.36,-0.57143,-0.25
0.42857,0.56,-0.42857,-0.1
0.42857,0.28,-0.42857,-0.2
0.42857,0.2,-0.47619,-0.15
0.19048,0.04,-0.42857,-0.25
0.047619,0.28,-0.42857,-0.15
0,0.28,-0.52381,-0.25
0.28571,0.24,-0.42857,-0.2
0.28571,0.4,-0.42857,-0.25
0.28571,0.32,-0.42857,-0.1
0.2381,0.16,-0.33333,-0.25
0.42857,0.4,-0.38095,-0.25
0.33333,0.36,-0.47619,-0.25
0.14286,0.04,-0.38095,-0.6
0.19048,-0.16,-0.38095,-1
0.14286,0.28,-0.42857,-0.45
0.28571,0.04,-0.42857,-0.15
0.14286,0.04,-0.42857,-0.25
0.047619,0.04,-0.28571,-0.15
0.33333,0.12,-0.28571,-0.1
-0.14286,0.12,-0.28571,-0.1
