#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.2,-0.53846,0.13636,0.19048
0.24444,-0.076923,-0.045455,0.28571
-0.022222,-0.23077,0.22727,0.28571
-0.066667,-0.23077,-0.13636,0.28571
0.33333,-0.076923,-0.090909,0.28571
0.33333,-0.12821,-0.18182,0.28571
0.33333,-0.076923,-0.18182,0.28571
0.33333,-0.12821,-0.045455,0
0.33333,-0.17949,-0.13636,0.14286
0.33333,-0.38462,-0.90909,0.095238
0.33333,-0.48718,-0.40909,0.095238
0.33333,-0.38462,-0.045455,0.14286
0.2,-0.23077,0.045455,-0.14286
0.15556,-0.17949,-0.045455,-0.14286
0.2,-0.17949,0,-0.14286
0.2,-0.12821,0,-0.14286
-0.022222,-0.28205,0.045455,-0.19048
-0.022222,-0.23077,-0.22727,-0.19048
-0.022222,0.076923,0.090909,-0.38095
-0.022222,0.076923,-0.045455,-0.047619
0.42222,0.076923,-0.40909,-0.47619
0.42222,0.025641,-0.045455,-0.47619
0.28889,0.17949,-0.18182,-0.42857
0.2,-0.12821,-0.045455,-0.42857
0.2,-0.17949,-0.36364,-0.42857
0.33333,0.23077,-0.36364,-0.42857
0.33333,0.025641,-0.18182,-0.42857
-0.28889,-0.12821,-0.18182,-0.57143
-0.28889,-0.025641,-0.31818,-0.57143
0.33333,-0.38462,-0.72727,-0.47619
0.33333,0.23077,-0.90909,-0.47619
0.33333,0.23077,-0.5,-0.71429
0.33333,0.53846,-0.59091,-1
0.46667,0.38462,-0.68182,-0.57143
0.64444,0.38462,-0.77273,-0.57143
0.64444,0.58974,-0.68182,-0.57143
0.64444,0.58974,-1,-0.66667
0.64444,0.53846,-1,-0.38095
0.64444,0.58974,-0.72727,-0.14286
0.64444,0.53846,-1,-1
0.6,0.23077,-0.72727,-0.33333
0.6,0.69231,-0.95455,-0.33333
0.2,0.38462,-1,-0.61905
0.37778,0.4359,-1,-0.61905
0.37778,0.69231,-0.95455,-0.61905
0.6,0.69231,-0.59091,-1
-0.15556,0.53846,-0.54545,-1
0.73333,0.84615,-1,-1
0.82222,0.4359,-0.90909,-1
-0.2,0.23077,-1,-1
0.37778,0.38462,-1,-1
0.37778,-0.23077,-1,-1
