#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.11111,-0.74359,0.22727,0.28571
0.11111,-0.74359,0.090909,0.28571
0.2,-0.53846,0.045455,0.28571
0.24444,-0.53846,0.31818,0.28571
0.24444,-0.69231,0.18182,0.28571
0.24444,-1,0.090909,0.28571
0.2,-1,0.27273,0.28571
0.28889,-0.69231,-0.045455,0.28571
0.24444,-0.64103,0.090909,0.14286
0.24444,-0.64103,-0.045455,0
0.24444,-0.53846,0.22727,0
0.28889,-0.38462,0.090909,0
0.2,-0.33333,0.090909,0
0.066667,-0.28205,-0.18182,0
-0.24444,-0.23077,0.090909,0
-0.066667,-0.076923,0.090909,0
0.28889,-0.076923,0.13636,-0.14286
0.28889,-0.12821,-0.27273,-0.14286
0.066667,-0.23077,-0.090909,-0.14286
-0.022222,-0.076923,0.090909,-0.14286
0.15556,-0.23077,0.090909,-0.14286
0.2,-0.4359,0.090909,-0.14286
-0.066667,-0.38462,-0.18182,-0.14286
0.2,-0.89744,0,-0.14286
0.066667,-0.23077,0.090909,-0.38095
0.066667,-0.076923,-0.22727,-0.38095
0.24444,-0.23077,-0.18182,0
0.24444,0.076923,0.090909,0
0.24444,-0.28205,0.090909,0
0.066667,-0.076923,-0.045455,0
0.022222,0.076923,0.090909,-1
0.022222,-0.33333,0,-1
0.2,0.12821,-0.045455,-1
0.15556,0.076923,-0.31818,-1
0.066667,0.23077,-0.31818,0
0.066667,0.025641,-0.18182,0
-0.46667,-0.23077,-0.5,0
0.066667,-0.28205,-0.40909,-0.19048
0.066667,-0.12821,-0.18182,-0.19048
0.15556,-0.23077,-0.63636,-0.19048
0.2,-0.076923,-0.045455,-0.71429
0.2,-0.58974,-0.31818,-0.71429
0.2,0.23077,-0.40909,-0.28571
0.2,0.23077,-0.63636,-0.28571
0.46667,0.53846,-0.59091,-0.28571
0.6,0.64103,-0.86364,-0.28571
0.6,0.48718,-0.77273,-0.42857
0.6,0.64103,-1,-0.42857
0.33333,0.58974,-1,-0.42857
0.24444,0.4359,-0.77273,-0.42857
0.42222,0.4359,-0.81818,-0.42857
0.6,-0.23077,-0.81818,-0.7619
0.6,0.64103,-0.95455,-0.7619
0.68889,0.53846,-0.95455,-0.7619
