#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.47619,0.88,-0.42857,-0.5
0.33333,0.04,-0.28571,-0.55
0.33333,0.12,-0.33333,-0.05
0.57143,-0.16,-0.80952,-0.25
0.28571,0.4,-0.42857,-0.2
0.42857,0.16,-0.38095,-0.2
0,0.04,-0.42857,-0.45
0.28571,-0.2,-0.71429,-0.1
-0.52381,0.04,-0.57143,-0.2
0.38095,0.04,-0.42857,-0.45
0.57143,0.04,-0.66667,-0.3
0.57143,0.04,-0.42857,-0.25
0.28571,0.04,-0.52381,-0.95
0.19048,0.12,-0.66667,-0.75
0.14286,0.04,-0.57143,-0.55
0.38095,0.04,-0.28571,-0.4
0.28571,0.28,-0.42857,-0.25
0.14286,0.04,-0.7619,-0.35
0.14286,-0.08,-0.71429,-0.05
0.47619,0.16,-0.57143,0
0.38095,0.08,-0.33333,0.05
