#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.2,0.076923,-0.68182,-0.61905
-0.46667,0.23077,-0.77273,-0.61905
-0.46667,-0.28205,-0.27273,-0.61905
-0.46667,-0.48718,-0.18182,-0.14286
-0.022222,0.23077,-0.27273,-0.14286
-0.022222,0.28205,-0.54545,-0.047619
-0.022222,0.17949,-0.31818,-0.42857
-0.022222,-0.17949,-0.27273,-0.42857
0.066667,0.12821,-0.31818,-0.42857
0.066667,0.53846,-0.40909,-0.57143
0.022222,-0.38462,-0.5,-0.57143
-0.2,-0.58974,-0.95455,-0.57143
-0.11111,0.23077,-0.59091,-0.57143
0.15556,0.33333,-0.27273,-0.57143
-0.15556,0.23077,-0.31818,-0.57143
0.022222,0.33333,-0.31818,-0.57143
0.022222,0.28205,-0.18182,-0.57143
0.24444,0.38462,-0.18182,-0.57143
0.24444,-0.17949,-0.36364,-0.42857
-0.2,0.12821,-0.31818,-0.42857
-0.2,0.64103,-0.22727,-0.14286
0.066667,0.23077,-0.18182,-0.14286
0.066667,0.23077,-0.59091,-0.42857
0.066667,0.38462,-0.31818,-0.42857
0.066667,0.48718,-0.36364,-0.095238
0.066667,0.84615,-0.86364,-0.52381
0.066667,0.48718,-0.68182,-1
0.42222,0.23077,-1,-1
0.42222,0.38462,-0.72727,-0.71429
0.42222,0.64103,-1,-1
0.42222,0.64103,-1,-0.57143
0.42222,0.74359,-0.90909,-1
0.68889,0.89744,-0.81818,-1
0.24444,0.69231,-0.95455,-1
0.24444,0.17949,-0.95455,-0.57143
0.33333,0.38462,-0.95455,-0.57143
0.46667,0.58974,-1,-0.57143
0.46667,0.69231,-1,-0.71429
0.46667,0.53846,-1,-0.71429
0.33333,0.38462,-0.90909,-0.71429
0.33333,0.84615,-0.90909,-0.42857
