#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.37778,-1,0.045455,0.28571
-0.066667,-0.79487,0.090909,0.28571
-0.15556,-0.79487,-0.31818,0.28571
-0.15556,-0.89744,0.18182,0.33333
-0.46667,-0.79487,0.090909,0.33333
-0.37778,-0.74359,-0.31818,0.33333
-0.37778,-0.89744,0.22727,0.2381
-0.64444,-0.69231,0.22727,0.2381
-0.28889,-1,0.090909,0.2381
-0.28889,-1,-0.31818,0.47619
-0.28889,-0.69231,0.045455,0.57143
-0.28889,-0.84615,0.045455,0.90476
-0.33333,-0.38462,-0.090909,0.90476
0.066667,-0.33333,0.090909,0.90476
-0.066667,-0.23077,-0.045455,0.90476
-0.066667,-0.53846,-0.27273,0.85714
-0.46667,-0.38462,0.090909,0.85714
0.066667,-0.53846,0.22727,0.85714
-0.022222,-0.48718,0.22727,0.85714
-0.022222,-0.48718,0.22727,0.80952
-0.022222,-0.79487,0,0.85714
-0.066667,-0.69231,0.090909,0.85714
-0.066667,-0.38462,0.36364,0.7619
-0.066667,-0.38462,0.18182,0.57143
-0.46667,-0.38462,0.40909,0.57143
-0.46667,-0.48718,0.090909,0.71429
-0.6,-0.4359,-0.090909,0.71429
-0.28889,-0.48718,0.090909,0.71429
-0.28889,-0.79487,-0.045455,0.33333
-0.46667,-0.69231,0.090909,0.33333
-0.46667,-0.64103,0.090909,0.19048
-1,-0.69231,0.5,0.19048
-0.55556,-0.94872,0.72727,0.19048
-0.55556,-0.69231,0.22727,0.38095
-0.55556,-0.89744,0.5,0.42857
-0.64444,-0.53846,-0.18182,0.42857
-0.64444,-0.74359,0.090909,0.85714
-0.46667,-0.53846,0.090909,0.85714
-0.46667,-0.64103,0.5,0.42857
-0.86667,-0.84615,0.22727,0.42857
-0.86667,-0.79487,0.090909,0.57143
