#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.13636,-0.24444,0.33333,-0.021277
-0.18182,-0.2,0.11111,-0.021277
-0.31818,-0.33333,0.33333,0.14894
-0.31818,-0.33333,0.33333,0.14894
-0.59091,-0.33333,0.46667,0.14894
-1,-0.2,0.066667,-0.19149
-1,-0.2,0.11111,-0.19149
-0.18182,-0.066667,-0.15556,0.021277
-0.18182,-0.28889,0.28889,0.021277
-0.045455,-0.46667,0.42222,0.021277
-0.045455,-0.46667,0.2,0.021277
-0.22727,-0.46667,0.066667,-0.78723
-0.22727,-0.51111,0.066667,0.021277
-0.22727,-0.2,0.2,-0.10638
-0.22727,-0.24444,-0.15556,-0.3617
-0.22727,-0.46667,-0.022222,-0.3617
-0.045455,-0.28889,0.2,-0.3617
-0.090909,-0.42222,0.42222,-0.19149
-0.090909,-0.37778,0.15556,0.021277
-0.090909,-0.066667,0.37778,0.021277
-0.090909,-0.2,0.2,0.14894
-0.090909,0.022222,0.11111,0.14894
0,0.066667,0.15556,-0.31915
0,0.066667,0.2,-0.31915
0.045455,0.2,0.066667,-0.06383
0.045455,-0.24444,0.33333,0.19149
0.045455,-0.46667,0.066667,0.19149
-0.18182,-0.11111,0.33333,0.19149
0.090909,-0.066667,0.33333,0.19149
0.090909,-0.37778,0.42222,0.19149
0.090909,-0.55556,0.6,0.19149
-0.045455,-0.46667,0.42222,-0.10638
-0.045455,-0.68889,0.37778,-0.10638
-0.40909,-0.37778,0.37778,0.19149
-0.40909,-0.33333,0.73333,0.19149
-0.13636,-0.55556,0.73333,0.14894
-0.13636,-0.95556,0.24444,-0.31915
-0.13636,-0.51111,0.33333,-0.31915
-0.45455,-0.73333,0.2,-0.31915
-0.72727,-0.6,0.066667,-0.06383
-0.72727,-0.73333,0.2,-0.06383
-0.5,-0.91111,0.28889,-0.06383
-0.90909,-0.86667,0.33333,-0.06383
-1,-0.6,0.42222,0.021277
-1,-1,0.73333,0.2766
-1,-1,0.64444,-0.10638
-1,-1,0.066667,-0.10638
