#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-1,-0.52,0.42857,0
-0.61905,-0.44,0.71429,0.5
-0.90476,-0.72,0.71429,0.75
-0.80952,-0.24,0.42857,0.4
-0.47619,-0.32,0.57143,0.35
-0.7619,-0.2,0.38095,0.35
-0.42857,-0.32,0.71429,0.5
-1,-0.48,0.095238,0.8
-1,-0.84,0.42857,0.65
-0.95238,-0.32,0.19048,0.35
-0.57143,-0.72,-0.14286,0.45
-0.57143,-0.36,-0.28571,0.55
-1,-0.24,0.38095,0.85
-0.90476,-0.56,0.14286,0.8
-0.71429,-0.72,0.047619,-0.15
-0.71429,-0.24,0.47619,0.2
-0.90476,-0.6,0,0.5
-0.7619,-0.76,0.047619,-0.25
-0.57143,-0.64,0.2381,0.5
-0.7619,-0.56,0.14286,0.85
-1,-0.76,-0.2381,0.55
-0.71429,-0.28,-0.42857,0.65
-1,-0.24,0.047619,0.6
-0.85714,-0.72,-0.19048,0.5
-0.80952,-0.32,-0.095238,-0.45
-1,-0.44,-0.38095,0.05
-1,-0.2,-0.52381,0.35
