#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.7619,0.04,-0.80952,-1
0.52381,0.28,-0.95238,-1
0.47619,0.4,-0.85714,-0.8
0.42857,0.04,-0.52381,-0.75
0.42857,-0.2,-0.57143,-1
0.28571,0.08,-1,-0.7
0.28571,0.08,-0.95238,-0.6
0.57143,0.04,-0.71429,-0.55
-0.28571,0.04,-0.28571,-0.5
0.42857,0.04,-0.28571,-1
0.28571,0,-0.33333,-0.5
0.28571,0.16,-0.38095,-0.25
0.38095,0.04,-0.33333,-0.25
0.42857,-0.36,-0.52381,-0.25
0.2381,0.12,-0.38095,-0.2
0.42857,0.2,-0.38095,-0.15
0.52381,-0.24,-0.28571,-0.25
0.19048,-0.2,-0.95238,-0.2
0.2381,-0.04,-0.57143,-0.4
0.28571,-0.28,-0.61905,-0.4
0,-0.12,-0.85714,-0.4
-0.095238,0.12,-0.71429,-0.4
0.52381,0.04,-0.42857,-0.55
