#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.33333,0.076923,-0.045455,0.14286
-0.33333,0.025641,-0.18182,0.14286
-0.2,0.076923,-0.54545,0.14286
-0.15556,0.076923,-0.045455,0.14286
-0.15556,0.076923,-0.045455,-0.47619
-0.15556,0.076923,-0.090909,0
-0.24444,-0.076923,0.22727,0
-0.24444,-0.025641,0.22727,0.33333
-0.24444,-0.076923,0.22727,0
-0.24444,0.076923,0.090909,0.2381
-0.24444,0.23077,-0.090909,0.14286
-0.24444,0.23077,-0.40909,0.14286
-0.24444,0.28205,0.18182,0.47619
-0.15556,0.23077,0.045455,0.47619
-0.11111,0.28205,0.27273,0.47619
0.2,0.23077,0.090909,0.47619
0.2,0.28205,0.18182,0.28571
0.2,0.23077,0.090909,0.14286
0.2,0.025641,0.22727,0.14286
0.2,0.025641,0,0.38095
0.2,-0.076923,0.5,0.42857
0.2,-0.23077,0.36364,0.28571
0.022222,-0.33333,0.22727,0.28571
0.022222,-0.23077,0.36364,0.14286
-0.066667,-0.12821,0.36364,0.14286
-0.37778,-0.38462,0.27273,0.14286
-0.37778,-0.53846,0.090909,0.047619
-0.37778,-0.94872,0.27273,0.42857
-0.86667,-0.74359,0.36364,0.42857
-0.46667,-0.84615,0.090909,0.42857
-0.6,-0.69231,0.40909,0.42857
-0.6,-0.69231,0.090909,0.42857
-0.6,-0.69231,0.22727,-0.047619
-0.6,-0.48718,0.36364,0.28571
-0.6,-0.94872,0.090909,0.19048
-0.6,-0.74359,0.31818,0
-0.6,-0.79487,0.090909,-0.14286
-0.68889,-0.79487,0.22727,-0.14286
-0.68889,-1,0.22727,0
-0.73333,-1,0.31818,0
-1,-0.79487,0.18182,0
-1,-1,0.22727,0.14286
-0.46667,-0.79487,-0.045455,0.14286
-0.46667,-0.94872,0.090909,0.14286
-0.51111,-0.84615,0.18182,0.14286
-0.6,-1,0.090909,0.14286
-0.68889,-1,0.22727,0.14286
-0.68889,-1,0.090909,0
-0.68889,-0.74359,0.36364,0.42857
-0.28889,-0.64103,0.63636,0.42857
-0.28889,-0.69231,0.5,0.28571
-0.15556,-0.64103,0.22727,0.28571
-0.33333,-0.53846,0.36364,0.28571
-0.33333,-0.79487,0.090909,0.42857
-0.33333,-0.94872,-0.27273,0.42857
-0.42222,-1,-0.045455,0.42857
-0.24444,-1,0.090909,0.42857
-0.11111,-0.94872,0.090909,0.42857
-0.11111,-1,-0.045455,0.42857
-0.11111,-0.79487,0.090909,0.47619
-0.11111,-0.94872,0.090909,0.42857
-0.28889,-0.89744,0.13636,0.42857
-0.28889,-0.69231,0.13636,0.28571
-0.28889,-0.69231,0.13636,0.28571
-0.55556,-0.84615,0.090909,0.28571
-0.46667,-0.84615,0.13636,0.28571
